05-12-2022 12:03:17 WARN  TestResultLoggerExtension:52 - Test Failed for test: [6] Check story issue type for TOUCAN, TOUCAN, Story due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:03:27 WARN  TestResultLoggerExtension:39 - Test Successful for test: [7] Check bug issue type for COALA, COALA, Bug
05-12-2022 12:03:38 WARN  TestResultLoggerExtension:39 - Test Successful for test: [8] Check task issue type for COALA, COALA, Task
05-12-2022 12:03:49 WARN  TestResultLoggerExtension:39 - Test Successful for test: [9] Check story issue type for COALA, COALA, Story
05-12-2022 12:03:59 WARN  TestResultLoggerExtension:39 - Test Successful for test: Create new issue with blank mandatory fields
05-12-2022 12:03:59 WARN  TestResultLoggerExtension:26 - Test result summary for TestCreateIssue {FAILED=8, SUCCESSFUL=8}
05-12-2022 12:04:08 WARN  TestResultLoggerExtension:39 - Test Successful for test: Browse non existing issue
05-12-2022 12:04:18 WARN  TestResultLoggerExtension:39 - Test Successful for test: Browse existing project without permission
05-12-2022 12:04:31 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Browse Existing Issue, MTP-1
05-12-2022 12:04:42 WARN  TestResultLoggerExtension:39 - Test Successful for test: [2] Browse issues 1 for TOUCAN project, TOUCAN-1
05-12-2022 12:04:54 WARN  TestResultLoggerExtension:39 - Test Successful for test: [3] Browse issues 2 for TOUCAN project, TOUCAN-2
05-12-2022 12:05:07 WARN  TestResultLoggerExtension:39 - Test Successful for test: [4] Browse issues 3 for TOUCAN project, TOUCAN-3
05-12-2022 12:05:38 WARN  TestResultLoggerExtension:52 - Test Failed for test: [5] Browse issues 1 for JETI project, JETI-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:06:09 WARN  TestResultLoggerExtension:52 - Test Failed for test: [6] Browse issues 2 for JETI project, JETI-2 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:06:21 WARN  TestResultLoggerExtension:52 - Test Failed for test: [7] Browse issues 3 for JETI project, JETI-3 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:06:32 WARN  TestResultLoggerExtension:39 - Test Successful for test: [8] Browse issues 1 for COALA project, COALA-1
05-12-2022 12:06:43 WARN  TestResultLoggerExtension:39 - Test Successful for test: [9] Browse issues 2 for COALA project, COALA-2
05-12-2022 12:07:14 WARN  TestResultLoggerExtension:52 - Test Failed for test: [10] Browse issues 3 for COALA project, COALA-3 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:07:14 WARN  TestResultLoggerExtension:26 - Test result summary for TestBrowseIssue {FAILED=4, SUCCESSFUL=8}
05-12-2022 12:07:25 WARN  TestResultLoggerExtension:39 - Test Successful for test: Log out successfully
05-12-2022 12:07:25 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogOut {SUCCESSFUL=1}
